,Name,Ordinal_type,Postcode,Latitude,Longitude
0,Leavesden Green Express,1,WD5 0BT,51.7009691, -0.4034211
1,Aberdare Superstore,2,CF44 8DL,51.71803141232898, -3.448705930275242
2,Union Street Castlegate Express,1,AB11 5BJ,57.1471172, -2.0965582
3,Abergavenny Frogmore Street Express,1,NP7 5AH,51.824668484952014, -3.020536649769383
4,Abergele Superstore,2,LL22 7AA,53.28595902826564, -3.5849307754637016
5,Abertillery Superstore,2,NP13 1UR,51.72920119477466, -3.1372296810150146
6,Addlestone Extra,3,KT15 2AS,51.372244914849254, -0.48737974587226063
7,Chorley Rd Express,1,PR6 9LQ,53.617269934870606, -2.5978536112268102
8,Ainsdale Station Rd Express,1,PR8 3HW,53.60247754948186, -3.0379786355820215
9,Alcester Kinwarton Rd Express,1,B49 6AA,52.2186474317915, -1.86555415391922
10,Aldeburgh Saxmundham Express,1,IP15 5JA,52.156864354460076, 1.5924756822090558
11,Alderley Edge Express,1,SK9 7JT,53.302532598947735, -2.2358832657664607
12,Aldershot Superstore,2,GU11 1SQ,51.25089972479346, -0.7752710580825806
13,Alfreton Superstore,2,DE55 7BT,53.09496160726697, -1.389007761901894
14,Allerton Bywater Express,1,WF10 2AT,53.74738078273164, -1.3609919436841689
15,Alloa Extra,3,FK10 1EG,56.11330153101861, -3.7877242487325957
16,Alresford Express,1,SO24 9AQ,51.09098979709226, -1.161140352487564
17,Ambleside Market Place Express,1,LA22 9BU,54.43152852118967, -2.962486852545908
18,Ammanford Superstore,2,SA18 2LR,51.78746839667629, -3.98915585148643
19,Annan Superstore,2,DG12 6JH,54.985177356016635, -3.249322868477975
20,Arbroath Superstore,2,DD11 3BQ,56.562214512338834, -2.591989798889598
21,Archway Holloway Rd Express,1,N19 5SS,51.564230141660865, -0.1314868489863641
22,Ascot High St Express,1,SL5 7HP,51.41080422293475, -0.6732827425003052
23,Ashvale Lysons Ave Express,1,GU12 5QL,51.272381982469106, -0.7230189442634583
24,Ashby De La Zouch Extra,3,LE65 1TE,52.75302315792516, -1.4528533816337585
25,Ashtead Craddocks Express,1,KT21 1QJ,51.31684362290774, -0.30477941036224365
26,Atherton Superstore,2,M46 0AG,53.52251397331639, -2.4894576650124236
